Sequence Name	Annotation GO ID
TU279	
TU285	GO:0005515
TU283	GO:0005515
TU284	GO:0005515
TU286	GO:0005515
TU287	GO:0005515
TU288	
TU289	
TU290	GO:0003677,GO:0006310,GO:0015074
TU291	
TU292	
TU293	
TU294	
TU295	
TU298	
TU296	GO:0003676
TU297	
TU299	
TU307	GO:0016021,GO:0050909
TU306	GO:0016021,GO:0050909
TU300	GO:0005777,GO:0016020,GO:0035336,GO:0080019
TU305	
TU301	GO:0005777,GO:0016020,GO:0035336,GO:0080019
TU302	GO:0005777,GO:0016020,GO:0035336,GO:0080019
TU304	
TU303	GO:0005777,GO:0016020,GO:0035336,GO:0080019
TU309	
TU308	
TU314	GO:0005737,GO:0008017,GO:0008352,GO:0051013
TU310	
TU311	
TU312	
TU313	
TU315	GO:0016021
TU316	
TU317	
TU320	
TU318	
TU319	
TU322	GO:0005634,GO:0006355
TU323	GO:0005634,GO:0006355
TU321	
TU324	
TU325	GO:0006470,GO:0008138
TU328	GO:0022857,GO:0055085
TU330	GO:0022857,GO:0055085
TU326	GO:0016020,GO:0022857,GO:0055085
TU327	GO:0022857,GO:0055085
TU329	GO:0016021,GO:0022857,GO:0055085
TU331	GO:0006511,GO:0016567
TU332	GO:0005515,GO:0008270
TU333	GO:0005515,GO:0008270
TU334	
TU335	
TU336	GO:0003743,GO:0005515,GO:0005525,GO:0006413
TU337	
TU338	GO:0008484
TU340	GO:0003677,GO:0003950,GO:0005634,GO:0006471,GO:0008270,GO:0051287
TU339	GO:0003677,GO:0003950,GO:0005634,GO:0006471,GO:0008270,GO:0051287
TU343	GO:0003676
TU341	GO:0004890,GO:0005230,GO:0016021,GO:0034220
TU342	GO:0004890,GO:0005230,GO:0005254,GO:0005887,GO:0007165,GO:0007268,GO:0030594,GO:0042391,GO:0043005,GO:0045202,GO:0050877,GO:1902476
TU347	GO:0015252,GO:0016021,GO:1902600
TU348	
TU344	
TU345	
TU346	
TU349	GO:0000139,GO:0006891,GO:0015031,GO:0017119
TU350	GO:0000139,GO:0006891,GO:0015031,GO:0017119
TU355	
TU354	
TU351	GO:0005524,GO:0005886,GO:0016021
TU352	GO:0005524,GO:0005886,GO:0016021
TU353	GO:0005524,GO:0005886,GO:0016021
TU356	
TU357	GO:0005515
TU360	GO:0005515
TU363	GO:0005515
TU358	GO:0005515
TU362	
TU359	GO:0005515
TU364	
TU365	
TU366	
TU361	
TU367	
TU368	GO:0005515,GO:0005783,GO:0005794,GO:0010008
TU369	
TU370	GO:0004674,GO:0004712,GO:0004713,GO:0005524,GO:0018108,GO:0046777,GO:0106310
TU371	GO:0004712,GO:0005524,GO:0046777
TU372	GO:0006811,GO:0046961,GO:0055085
TU373	GO:0006811,GO:0046961,GO:0055085
TU374	
TU375	
TU377	GO:0004045,GO:0016021
TU376	GO:0002161,GO:0004823,GO:0005524,GO:0006429,GO:0106074
TU378	GO:0046983
TU380	GO:0007049,GO:0016538,GO:0050790,GO:0051301
TU381	GO:0007049,GO:0016538,GO:0050790,GO:0051301
TU379	GO:0007049,GO:0016538,GO:0050790,GO:0051301
TU382	GO:0007049,GO:0016538,GO:0050790,GO:0051301
TU383	GO:0007049,GO:0016538,GO:0050790,GO:0051301
TU384	
TU386	GO:0005198,GO:0006886,GO:0016192,GO:0030130,GO:0030132
TU385	
TU395	GO:0007218,GO:0008255,GO:0016021,GO:0018990
TU387	
TU388	
TU389	
TU391	GO:0007218,GO:0008255,GO:0018990
TU390	GO:0007218,GO:0008255,GO:0018990
TU392	GO:0004672,GO:0005524,GO:0006468
TU393	GO:0004672,GO:0005524,GO:0006468
TU394	GO:0004672,GO:0005524,GO:0006468
TU396	GO:0005524,GO:0005886,GO:0008556,GO:0016021,GO:0016887,GO:0046872,GO:0071805
TU397	
TU404	
TU400	
TU403	
TU405	
TU398	
TU402	
TU406	
TU399	
TU401	
TU407	GO:0016021,GO:0046872
TU410	GO:0005515
TU411	
TU408	
TU409	
TU412	GO:0005634,GO:0006334
TU414	GO:0005794,GO:0006486,GO:0008417,GO:0016020
TU418	GO:0005794,GO:0006486,GO:0008417,GO:0016020
TU413	GO:0006486,GO:0008417,GO:0016021,GO:0032580,GO:0036065
TU415	GO:0006486,GO:0008417,GO:0016021,GO:0032580,GO:0036065
TU416	GO:0005794,GO:0006486,GO:0008417,GO:0016020
TU417	GO:0005794,GO:0006486,GO:0008417,GO:0016020
TU419	GO:0002115,GO:0005246,GO:0005509,GO:0005783,GO:0005886,GO:0006874,GO:0016021,GO:0032237
TU420	GO:0003676
TU421	
TU422	
TU425	
TU427	
TU426	
TU424	
TU423	GO:0004500,GO:0005507,GO:0016021
TU428	
TU429	
TU430	
TU431	
TU432	
TU434	
TU433	
TU435	
TU436	GO:0003677,GO:0046872
TU437	
TU439	
TU438	
TU440	
TU441	
TU443	
TU444	
TU445	
TU446	
TU442	
TU447	
TU452	
TU451	GO:0005581
TU474	
TU456	
TU460	
TU470	
TU450	
TU453	
TU462	GO:0005581
TU469	GO:0005581
TU461	GO:0005581
TU448	
TU449	
TU454	
TU455	
TU463	
TU464	
TU465	
TU467	
TU471	GO:0005581
TU466	
TU475	
TU476	
TU472	
TU473	
TU458	
TU459	
TU468	GO:0005581
TU457	
TU479	GO:0016021,GO:0016747
TU478	GO:0016020,GO:0016747
TU477	GO:0046872
TU482	GO:0003676,GO:0004816,GO:0005524,GO:0006421
TU481	GO:0003676,GO:0004816,GO:0005524,GO:0006421
TU480	GO:0005783,GO:0016021
TU483	GO:0003723,GO:0003735,GO:0006412,GO:0022625
TU484	
TU485	
TU491	
TU490	
TU487	
TU488	
TU486	
TU489	
TU493	GO:0006631,GO:0009058,GO:0016297,GO:0016418,GO:0016491,GO:0019171
TU495	GO:0003676
TU496	
TU494	
TU492	GO:0009058
TU497	GO:0005524,GO:0016021,GO:0055085,GO:0140359
TU498	
TU499	
TU502	
TU500	
TU501	
TU503	
TU504	GO:0003676
TU505	GO:0005509,GO:0005886,GO:0007156
TU506	
TU507	GO:0001732,GO:0003743,GO:0005852,GO:0006446,GO:0016282,GO:0033290,GO:0043022
TU511	
TU508	GO:0000387,GO:0032797
TU510	
TU509	
TU512	GO:0016671
TU513	GO:0005622,GO:0060964
TU514	GO:0003677,GO:0005634,GO:0005737,GO:0051321,GO:0060964
TU515	GO:0005747
TU516	GO:0004531,GO:0006259
TU518	GO:0005515
TU520	GO:0005515
TU519	GO:0005515
TU517	GO:0005515
TU525	GO:0006351,GO:0070176
TU526	GO:0006351,GO:0070176
TU527	GO:0006351,GO:0070176
TU528	GO:0006351,GO:0070176
TU524	
TU523	GO:0004722,GO:0006470,GO:0046872
TU521	GO:0004722,GO:0006470,GO:0046872
TU522	GO:0004722,GO:0006470,GO:0046872
TU529	
TU530	GO:0005634
TU532	GO:0000118,GO:0003714,GO:0005667,GO:0006357,GO:0008270,GO:0009888,GO:0016575,GO:0043565,GO:0045892
TU531	GO:0005634,GO:0006355,GO:0008270,GO:0009888,GO:0043565
TU533	GO:0003735,GO:0005762
TU534	GO:0005739,GO:0009107,GO:0009249,GO:0016992,GO:0046872,GO:0051539,GO:0102552,GO:0102553
TU536	GO:0000977,GO:0000981,GO:0005634,GO:0006357
TU535	GO:0000977,GO:0000981,GO:0005634,GO:0006357
TU539	GO:0005549
TU538	GO:0005549
TU537	
TU540	GO:0005549
TU541	GO:0005549
TU542	GO:0005549
TU543	GO:0005509
TU544	GO:0009055,GO:0020037,GO:0022900,GO:0046872
TU546	GO:0004222,GO:0006508
TU545	GO:0008236,GO:0019538,GO:0140657
TU547	
TU548	
TU549	
TU550	
TU552	GO:0005802,GO:0006888,GO:0016021
TU551	GO:0005802,GO:0006888,GO:0016021
TU558	GO:0005783,GO:0007029,GO:0016021
TU555	GO:0016021
TU556	GO:0016021
TU557	GO:0016021
TU553	GO:0009987
TU554	
TU559	GO:0005634,GO:0006281,GO:0008081
TU564	GO:0016021,GO:0022857,GO:0055085
TU563	GO:0016021,GO:0022857,GO:0055085
TU560	GO:0016021,GO:0022857,GO:0055085
TU562	GO:0016021,GO:0022857,GO:0055085
TU561	GO:0016021,GO:0022857,GO:0055085
TU565	GO:0016021,GO:0022857,GO:0055085
TU569	GO:0016021,GO:0022857,GO:0055085
TU566	
TU567	
TU568	
TU574	
TU571	GO:0022857,GO:0055085
TU570	
TU573	GO:0022857,GO:0055085
TU572	GO:0022857,GO:0055085
TU575	GO:0022857,GO:0055085
TU576	
TU577	GO:0016020,GO:0044260
TU578	GO:0016020,GO:0044260
TU579	
TU580	
TU581	GO:0005856
TU582	GO:0005856
TU583	
TU584	
TU585	
TU586	GO:0016021
TU588	GO:0016021
TU589	GO:0016021
TU587	GO:0016021
TU590	
TU591	
TU594	GO:0008270
TU595	GO:0008270
TU592	GO:0008168
TU593	GO:0001510,GO:0008171,GO:0008173
TU597	GO:0005515,GO:0035556
TU596	GO:0005515,GO:0035556
TU598	
TU601	GO:0001510,GO:0008168
TU599	GO:0016021,GO:0031410,GO:0070072
TU600	GO:0016021,GO:0031410,GO:0070072
TU602	GO:0016021,GO:0031410,GO:0070072
TU603	GO:0016301,GO:0016310,GO:0046854,GO:0048015
TU608	
TU609	
TU612	
TU611	
TU610	
TU604	GO:0004672,GO:0005524,GO:0006468
TU605	GO:0004672,GO:0005524,GO:0006468
TU607	GO:0004672,GO:0005524,GO:0006468
TU606	GO:0004672,GO:0005524,GO:0006468
TU615	GO:0004693,GO:0005524,GO:0008024,GO:0008353,GO:0030332,GO:0032968,GO:0070816
TU613	GO:0004693,GO:0005524,GO:0008024,GO:0008353,GO:0030332,GO:0032968,GO:0070816
TU614	GO:0004693,GO:0005524,GO:0008024,GO:0008353,GO:0030332,GO:0032968,GO:0070816
TU617	GO:0004693,GO:0005524,GO:0008024,GO:0008353,GO:0030332,GO:0032968,GO:0070816
TU616	GO:0004693,GO:0005524,GO:0008024,GO:0008353,GO:0030332,GO:0032968,GO:0070816
TU618	
TU619	GO:0003868,GO:0009072,GO:0046872
TU621	GO:0003924,GO:0005525
TU620	GO:0003924,GO:0005525
TU623	GO:0003924,GO:0005525
TU622	GO:0003924,GO:0005525
TU624	GO:0003676
TU625	GO:0005509,GO:0005515,GO:0016020
TU627	GO:0005509,GO:0005515,GO:0016020
TU630	GO:0005515
TU629	GO:0005509,GO:0016020
TU628	GO:0005509,GO:0016020
TU626	GO:0005509,GO:0016020
TU631	GO:0005509,GO:0005515,GO:0016020
TU632	GO:0005509,GO:0005515,GO:0016020
TU633	GO:0005509,GO:0005515,GO:0016020
TU634	GO:0005509,GO:0005515,GO:0016020
TU635	GO:0005509,GO:0005515,GO:0016020
TU637	GO:0005509,GO:0005515,GO:0016020
TU638	GO:0005509,GO:0005515,GO:0016020
TU639	GO:0005509,GO:0005515,GO:0016020
TU641	GO:0005509,GO:0005515,GO:0016020
TU645	GO:0005509,GO:0005515,GO:0016020
TU646	GO:0005509,GO:0005515,GO:0016020
TU648	GO:0005509,GO:0005515,GO:0016020
TU649	GO:0005515
TU651	
TU640	
TU636	GO:0005509,GO:0005515,GO:0016020
TU642	GO:0005509,GO:0005515,GO:0016020
TU650	GO:0005509,GO:0005515,GO:0016020
TU644	
TU647	GO:0005509,GO:0016020
TU643	
TU652	GO:0004984,GO:0005549,GO:0005886,GO:0007165,GO:0016021,GO:0050911
TU653	GO:0004984,GO:0005549,GO:0005886,GO:0007165,GO:0016021,GO:0050911
TU659	
TU661	
TU658	
TU660	
TU654	
TU655	GO:0004984,GO:0005549,GO:0007608,GO:0016020,GO:0050896
TU656	GO:0004984,GO:0005549,GO:0007608,GO:0016020,GO:0050896
TU657	
TU662	
TU663	GO:0000166,GO:0000287,GO:0005737,GO:0008253,GO:0009117,GO:0016311
TU665	
TU664	GO:0110165
TU666	GO:0003723,GO:0005634,GO:0005737,GO:0006397
TU667	GO:0005975,GO:0006044,GO:0008448,GO:0046872,GO:0047419
TU669	
TU671	GO:0005515,GO:0008270
TU670	GO:0005515,GO:0008270
TU668	
TU673	GO:0003677,GO:0005634,GO:0005694
TU674	GO:0003677,GO:0005634,GO:0005694
TU672	
TU675	GO:0005049,GO:0006611,GO:0031267
TU676	GO:0005049,GO:0006611,GO:0031267
TU677	GO:0005049,GO:0006611,GO:0031267
TU678	GO:0005049,GO:0006611,GO:0031267
TU679	GO:0003723,GO:0005730,GO:0042254,GO:1990904
TU680	GO:0005515,GO:0031080
TU681	
TU682	
TU683	GO:0005524,GO:0016021,GO:0055085,GO:0140359
TU684	GO:0005515,GO:0005886,GO:0007155,GO:0007411,GO:0016021
TU685	GO:0005515,GO:0005634,GO:0006355
TU686	
TU688	GO:0003714,GO:0005515,GO:0005634,GO:0005667,GO:0045892,GO:0090090
TU692	GO:0005515,GO:0005634,GO:0006355
TU689	GO:0003714,GO:0005515,GO:0005634,GO:0005667,GO:0045892,GO:0090090
TU691	GO:0003714,GO:0005515,GO:0005634,GO:0005667,GO:0045892,GO:0090090
TU687	GO:0003714,GO:0005515,GO:0005634,GO:0005667,GO:0045892,GO:0090090
TU690	GO:0005515,GO:0005634,GO:0006355
TU693	GO:0003723,GO:0046872
TU694	
TU695	
TU696	
TU697	
TU698	GO:0003676
TU699	GO:0003676,GO:0008270
TU701	
TU700	
TU703	
TU704	
TU702	GO:0005634,GO:0008270
TU705	
TU706	GO:0008270
TU711	
TU709	GO:0008270
TU712	GO:0004222,GO:0006508,GO:0016020
TU713	GO:0004222,GO:0006508,GO:0016020
TU714	GO:0004222,GO:0006508,GO:0016020
TU707	GO:0008270
TU708	GO:0008270
TU716	
TU717	GO:0005515,GO:0005730,GO:0030687,GO:0042273
TU715	GO:0005515,GO:0005730,GO:0030687,GO:0042273
TU710	
TU719	
TU720	
TU718	
TU721	
TU723	GO:0004674,GO:0005524,GO:0006468
TU726	GO:0004674,GO:0005524,GO:0006468
TU725	GO:0004674,GO:0005524,GO:0006468
TU724	GO:0004674,GO:0005524,GO:0006468
TU722	GO:0004674,GO:0005524,GO:0006468
TU734	
TU727	
TU728	
TU731	
TU735	
TU732	
TU736	
TU733	
TU729	
TU730	
TU737	
TU738	
TU739	
TU740	GO:0009055,GO:0020037,GO:0022900,GO:0046872
TU741	
TU743	
TU742	
TU748	GO:0016021
TU744	
TU745	
TU746	
TU747	GO:0016021
TU749	
TU750	GO:0003677
TU752	
TU751	
TU753	GO:0005509
TU754	
TU755	GO:0004535,GO:0005634,GO:0005737,GO:0046872,GO:0090503
TU756	
TU757	
TU760	GO:0003779,GO:0005856
TU759	GO:0003779,GO:0005737,GO:0005856,GO:0005886,GO:0005912,GO:0009887,GO:0030182
TU758	GO:0003676
TU761	
TU762	GO:0005634,GO:0008270
TU763	
TU764	
TU765	GO:0016746
TU766	GO:0003676
TU767	
TU768	GO:0005576
TU769	GO:0005576
TU789	GO:0006914,GO:0048208
TU774	GO:0006914,GO:0048208
TU775	GO:0006914,GO:0048208
TU770	GO:0006914,GO:0048208
TU771	GO:0006914,GO:0048208
TU772	GO:0006914,GO:0048208
TU773	GO:0006914,GO:0048208
TU776	GO:0006914,GO:0048208
TU777	GO:0006914,GO:0048208
TU778	GO:0006914,GO:0048208
TU779	GO:0006914,GO:0048208
TU781	GO:0006914,GO:0048208
TU782	GO:0006914,GO:0048208
TU784	GO:0006914,GO:0048208
TU785	GO:0006914,GO:0048208
TU786	GO:0006914,GO:0048208
TU787	GO:0006914,GO:0048208
TU788	GO:0006914,GO:0048208
TU792	GO:0004082,GO:0004619,GO:0006096
TU783	
TU780	
TU793	
TU790	GO:0004672,GO:0005524,GO:0006468
TU791	GO:0004672,GO:0005524,GO:0006468
TU795	GO:0005201
TU796	GO:0016020,GO:0016798
TU794	
TU797	
TU798	
TU800	
TU799	
TU802	GO:0005634,GO:0008270
TU801	GO:0008270
TU803	
TU804	
TU806	
TU805	
TU807	GO:0003987,GO:0004497,GO:0005524,GO:0005777,GO:0008218,GO:0016208,GO:0019427
TU808	GO:0003987,GO:0004497,GO:0005524,GO:0005777,GO:0008218,GO:0016208,GO:0019427
TU809	GO:0003987,GO:0004497,GO:0005524,GO:0005777,GO:0008218,GO:0016208,GO:0019427
TU810	GO:0005739,GO:0005960,GO:0019464
TU811	
TU812	
TU813	GO:0004970,GO:0016021,GO:0034220,GO:0035235,GO:0045211
TU814	GO:0004970,GO:0016021,GO:0034220,GO:0035235,GO:0045211
TU815	GO:0004970,GO:0016021,GO:0034220,GO:0035235,GO:0045211
TU816	GO:0004970,GO:0016021,GO:0034220,GO:0035235,GO:0045211
TU823	GO:0003924,GO:0005525
TU824	
TU818	
TU817	
TU821	
TU819	GO:0003676,GO:0004523
TU820	GO:0003676,GO:0004523
TU825	
TU822	
TU826	
TU827	GO:0004222,GO:0006508,GO:0046872
TU828	GO:0005515
TU829	
TU830	GO:0004970,GO:0016021,GO:0034220,GO:0035235,GO:0045211
TU831	
TU832	GO:0003924,GO:0005525
TU833	GO:0004844,GO:0006284
TU834	GO:0005515,GO:0016021
TU836	
TU837	
TU835	GO:0005515,GO:0016021
TU838	GO:0005515,GO:0016021,GO:0030154
TU841	GO:0003735,GO:0005840,GO:0006412
TU842	GO:0003723,GO:0005840,GO:0010467,GO:0034641,GO:0042274,GO:0044238
TU839	
TU840	
TU843	
TU844	
TU845	GO:0003723,GO:0005847,GO:0006378,GO:0006398,GO:0098789
TU846	GO:0003723,GO:0005847,GO:0006378,GO:0006398,GO:0098789
TU847	GO:0003723,GO:0005847,GO:0006378,GO:0006398,GO:0098789
TU849	
TU848	
TU850	
TU851	GO:0005488
TU852	
TU856	
TU858	
TU857	
TU861	GO:0003676
TU859	
