Manuscript_Transcript_Name,Full_Transcript_Name,Query_Transcript_ID,RefSeq_ID,DE_Category,Section
cytochrome P450,cytochrome P450 9e2-like,TU19701,XM_023162122.1,Shared,3.5.1.4
cytochrome P450,"cytochrome P450 9e2-like, transcript variant X2",TU6644,XM_023174712.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 6a8-like,TU31681,XM_023167571.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4d8-like,TU1818,XM_023161362.1,Shared,3.5.1.4
cytochrome P450,probable cytochrome P450 6a13,TU35190,XM_023169053.1,Shared,3.5.1.4
cytochrome P450,"probable cytochrome P450 12a5, mitochondrial",TU39511,XM_023170847.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4C1-like,TU10831,XM_023157739.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 6a8-like,TU31680,XM_023167570.1,Shared,3.5.1.4
cytochrome P450,"cytochrome P450 9e2-like, transcript variant X2",TU26703,XM_023165395.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 9e2-like,TU12883,XM_023158796.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4c3-like,TU11485,XM_023158052.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 9e2-like,TU12888,XM_023158796.1,Shared,3.5.1.4
cytochrome P450,cytochrome P450 4d2-like,TU15462,XM_023160082.1,Shared,3.5.1.4
cytochrome P450,"cytochrome P450 9e2-like, transcript variant X2",TU26702,XM_023165395.1,Shared,3.5.1.4
chorion class B protein L12-like,chorion class B protein L12-like,TU12200,XM_023158437.1,Female Unique,3.5.2.1
insulin receptor,insulin-like receptor,TU6022,XM_023174351.1,Female-specific,3.5.2.1
insulin receptor,insulin-like receptor,TU44762,XM_023172914.1,Female-specific,3.5.2.1
MAP kinase-activating death domain protein,MAP kinase-activating death domain protein,TU14148,XM_023159467.1,Female-specific,3.5.2.1
RAC serine/threonine-protein kinase,"RAC serine/threonine-protein kinase, transcript variant X3",TU19270,XM_023161889.1,Female Unique,3.5.2.1
hormone-sensitive lipase,hormone-sensitive lipase,TU19213,XM_023161842.1,Female Unique,3.5.2.1
fatty acid synthase,fatty acid synthase-like,TU8478,XM_023156620.1,Female Unique,3.5.2.1
fatty acid synthase,fatty acid synthase-like,TU16825,XM_023160698.1,Female Unique,3.5.2.1
fatty acid synthase,fatty acid synthase-like,TU11125,XM_023157858.1,Female Unique,3.5.2.1
acetyl-CoA carboxylase,acetyl-CoA carboxylase,TU15929,XM_023160286.1,Female Unique,3.5.2.1
JH esterase ,juvenile hormone esterase-like,TU22523,XM_023163398.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,juvenile hormone acid O-methyltransferase-like,TU43890,XM_023172590.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,juvenile hormone acid O-methyltransferase-like,TU18497,XM_023161501.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,juvenile hormone acid O-methyltransferase-like,TU8642,XM_023156698.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,"juvenile hormone acid O-methyltransferase-like, transcript variant X3",TU26713,XM_023165402.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,juvenile hormone acid O-methyltransferase-like,TU26718,XM_023165406.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,juvenile hormone acid O-methyltransferase-like,TU26719,XM_023165407.1,Female Unique,3.5.2.1
JH acid O-methyltransferase,juvenile hormone acid O-methyltransferase-like,TU34251,XM_023168689.1,Female Unique,3.5.2.1
survival of motor neuron-related-splicing factor 30,survival of motor neuron-related-splicing factor 30,TU35561,XM_023169213.1,Female-specific,3.5.2.2
splicing factor 3A subunit 1,"splicing factor 3A subunit 1, transcript variant X2",TU25481,XM_023164827.1,Female-specific,3.5.2.2
poly(U)-binding-splicing factor half pint,"poly(U)-binding-splicing factor half pint, transcript variant X3",TU23444,XM_023163856.1,Female-specific,3.5.2.2
poly(U)-binding-splicing factor half pint,"poly(U)-binding-splicing factor half pint, transcript variant X1",TU23443,XM_023163854.1,Female-specific,3.5.2.2
poly(U)-binding-splicing factor half pint,"poly(U)-binding-splicing factor half pint, transcript variant X2",TU23442,XM_023163855.1,Female-specific,3.5.2.2
pre-mRNA-processing factor 39-like,"pre-mRNA-processing factor 39-like, transcript variant X1",TU23629,XM_023163952.1,Female-specific,3.5.2.2
pre-mRNA-processing factor 40,"pre-mRNA-processing factor 40 homolog A, transcript variant X1",TU21467,XM_023162918.1,Female-specific,3.5.2.2
endoribonuclease Dicer,endoribonuclease Dicer-like,TU2469,XM_023165026.1,Female-specific,3.5.2.2
endoribonuclease Dicer,endoribonuclease Dicer-like,TU5270,XM_023174012.1,Female-specific,3.5.2.2
dimethyladenosine transferase,probable dimethyladenosine transferase,TU41113,XM_023171479.1,Female-specific,3.5.2.2
E3 ubiquitin-protein ligase FANCL,"E3 ubiquitin-protein ligase FANCL-like, transcript variant X3",TU14074,XM_023159426.1,Female-specific,3.5.2.2
E3 ubiquitin-protein ligase FANCL,"E3 ubiquitin-protein ligase FANCL-like, transcript variant X4",TU14065,XM_023159427.1,Female-specific,3.5.2.2
DNA repair protein XRCC1,"DNA repair protein XRCC1, transcript variant X1",TU31610,XM_023167539.1,Female-specific,3.5.2.2
DNA helicase Ino80,putative DNA helicase Ino80,TU42230,XM_023171917.1,Female-specific,3.5.2.2
Fanconi anemia protein,Fanconi anemia group D2 protein,TU27764,XM_023165873.1,Female-specific,3.5.2.2
hepatocyte growth factor-regulated tyrosine kinase substrate,hepatocyte growth factor-regulated tyrosine kinase substrate,TU11417,XM_023158021.1,Female Unique,3.5.2.2
vacuolar protein sorting-associated protein 29,"vacuolar protein sorting-associated protein 29, transcript variant X2",TU21680,XM_023163020.1,Female Unique,3.5.2.2
multivesicular body subunit 12B,"multivesicular body subunit 12B, transcript variant X2",TU1766,XM_023161042.1,Female Unique,3.5.2.2
protein disulfide-isomerase A3,protein disulfide-isomerase A3-like,TU1890,XM_023161830.1,Female Unique,3.5.2.2
heat shock 70 kDa protein,"heat shock 70 kDa protein cognate 3, transcript variant X1",TU14281,XM_023159510.1,Female Unique,3.5.2.2
heat shock 70 kDa protein,heat shock 70 kDa protein-like,TU41844,XM_023171771.1,Female Unique,3.5.2.2
heat shock 70 kDa protein,heat shock 70 kDa protein-like,TU27966,XM_023165938.1,Female Unique,3.5.2.2
heat shock 70 kDa protein,heat shock 70 kDa protein-like,TU25756,XM_023164941.1,Female Unique,3.5.2.2
protein timeless,protein timeless isoform X1,TU43165,XP_023944838,Female Unique,3.5.2.4
protein timeless,protein timeless homolog,TU15792,XM_023160238.1,Female Unique,3.5.2.4
protein timeless,"protein timeless, transcript variant X3",TU42332,XM_023171952.1,Female Unique,3.5.2.4
protein timeless,"protein timeless, transcript variant X2",TU42333,XM_023171951.1,Female Unique,3.5.2.4
protein cycle,"protein cycle, transcript variant X1",TU14179,XM_023159477.1,Female Unique,3.5.2.4
protein cycle,"protein cycle, transcript variant X1",TU14178,XM_023159477.1,Female Unique,3.5.2.4
protein cycle,"protein cycle, transcript variant X1",TU14181,XM_023159477.1,Female Unique,3.5.2.4
period circadian protein,"period circadian protein, transcript variant X1",TU9595,XM_023157128.1,Female Unique,3.5.2.4
period circadian protein,"period circadian protein, transcript variant X4",TU9593,XM_023157131.1,Female Unique,3.5.2.4
couchpotato,"protein couch potato, transcript variant X2",TU8769,XM_023156779.1,Female Unique,3.5.2.5
couchpotato,"protein couch potato, transcript variant X2",TU8773,XM_023156779.1,Female Unique,3.5.2.5
couchpotato,"protein couch potato, transcript variant X2",TU8772,XM_023156779.1,Female Unique,3.5.2.5
protein Gawky,"protein Gawky, transcript variant X2",TU29905,XM_023166810.1,Male_Unique,3.5.3.1
protein Smaug,protein Smaug homolog 1,TU15074,XM_023159907.1,Male_Unique,3.5.3.1
protein IMPACT,"protein IMPACT homolog, transcript variant X2",TU24974,XM_023164599.1,Male_Unique,3.5.3.1
eIF-2α kinase 1-like,eukaryotic translation initiation factor 2-alpha kinase 1-like,TU14392,XM_023159579.1,Male_Unique,3.5.3.1
eIF-3 subunit J-like,eukaryotic translation initiation factor 3 subunit J-like,TU29355,XM_023166563.1,Male_Unique,3.5.3.1
39S ribosomal protein L47 ,"39S ribosomal protein L47,  mitochondrial",TU41479,XM_023171622.1,Male_Unique,3.5.3.1
cytoplasmic 30S ribosomal protein S11 ,30S ribosomal protein S11,TU842,XM_023156548.1,Male_Unique,3.5.3.1
ribosomal protein S6 kinase alpha-5 ,ribosomal protein S6 kinase alpha-5-like,TU27807,XM_023165888.1,Male_Unique,3.5.3.1
elongation of very long chain fatty acids protein 4,"elongation of very long chain fatty acids protein 4-like, transcript variant X1",TU26499,XM_023165310.1,Male_Unique,3.5.3.1
elongation of very long chain fatty acids protein 6,elongation of very long chain fatty acids protein 6,TU10592,XM_023157634.1,Male_Unique,3.5.3.1
acyl-CoA Delta(11) desaturase,acyl-CoA Delta(11) desaturase-like,TU21576,XM_023162963.1,Male_Unique,3.5.3.1
acetyl-CoA carboxylase,acetyl-CoA carboxylase,TU15923,XM_023160286.1,Male_Unique,3.5.3.1
phospholipid-transporting ATPase IA ,"probable phospholipid-transporting ATPase IA, transcript variant X6",TU30233,XM_023166978.1,Male_Unique,3.5.3.1
phospholipid scramblase 2 ,"phospholipid scramblase 2-like, transcript variant X1",TU16662,XM_023160608.1,Male_Unique,3.5.3.1
Synaptic vesicle membrane protein VAT-1,synaptic vesicle membrane protein VAT-1 homolog-like,TU20746,XM_023162617.1,Male_Unique,3.5.3.2
VAT-1,synaptic vesicle membrane protein VAT-1 homolog,TU38088,XM_023170240.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein,"neuronal PAS domain-containing protein 2-like, transcript variant X3",TU3673,XM_023171595.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein,"neuronal PAS domain-containing protein 2-like, transcript variant X1",TU3674,XM_023171582.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein,"neuronal PAS domain-containing protein 2-like, transcript variant X1",TU3680,XM_023171582.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein ,"neuronal PAS domain-containing protein 2-like, transcript variant X1",TU3681,XM_023171582.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein,"neuronal PAS domain-containing protein 2-like, transcript variant X5",TU3685,XM_023171610.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein,"neuronal PAS domain-containing protein 2-like, transcript variant X1",TU3687,XM_023171582.1,Male_Unique,3.5.3.2
neuronal PAS domain-containing protein,neuronal PAS domain-containing protein 4,TU11370,XM_023157994.1,Male_Unique,3.5.3.2
bromodomain testis-specific protein,bromodomain testis-specific protein-like,TU20337,XM_023162437.1,Male_Unique,3.5.3.3
bromodomain testis-specific protein,bromodomain testis-specific protein-like,TU20338,XM_023162437.1,Male_Unique,3.5.3.3
motile sperm domain-containing protein 1,motile sperm domain-containing protein 1-like,TU30468,XM_023167101.1,Male_Unique,3.5.3.3
Hippo kinase,serine/threonine-protein kinase hippo-like,TU11375,XM_023157998.1,Interaction,3.5.4.1
TGF-B receptor type-1,"TGF-beta receptor type-1, transcript variant X1",TU16255,XM_023160423.1,Interaction,3.5.4.1
TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,TU34737,XM_023168883.1,Interaction,3.5.4.1
Broad-complex core protein ,"broad-complex core protein, transcript variant X10",TU26908,XM_023165479.1,Interaction,3.5.4.1
DNA ligase 1,DNA ligase 1-like,TU27627,XM_023165825.1,Interaction,3.5.4.2
DNA ligase 1,DNA ligase 1-like,TU27631,XM_023165825.1,Interaction,3.5.4.2
deoxynucleoside kinase,deoxynucleoside kinase-like,TU6818,XM_023155743.1,Interaction,3.5.4.2
equilibrative nucleoside transporter 1,equilibrative nucleoside transporter 1-like,TU21815,XM_023163075.1,Interaction,3.5.4.2
mediator of DNA damage checkpoint protein 1 ,mediator of DNA damage checkpoint protein 1-like,TU25661,XM_023164907.1,Interaction,3.5.4.2
zinc finger protein,zinc finger CCCH-type with G patch domain-containing protein,TU7272,XM_023155972.1,Interaction,3.5.4.3
zinc finger protein,zinc finger protein 271-like,TU16154,XM_023160391.1,Interaction,3.5.4.3
zinc finger protein,zinc finger protein 271-like,TU42873,XP_028127933,Interaction,3.5.4.3
zinc finger protein,zinc finger protein 32-like,TU8762,XM_023156771.1,Interaction,3.5.4.3
zinc finger protein,zinc finger protein 385A-like,TU22124,XM_023163217.1,Interaction,3.5.4.3
zinc finger protein,"zinc finger protein 732-like,  transcript variant X1",TU14406,XM_023159575.1,Interaction,3.5.4.3
zinc finger protein,zinc finger protein OZF-like,TU9528,XM_023157107.1,Interaction,3.5.4.3
monocarboxylate transporter 13,monocarboxylate transporter 13,TU7317,XM_023155998.1,Interaction,3.5.4.3
facilitated trehalose transporter,"facilitated trehalose transporter Tret1-like, transcript variant X2",TU19295,XM_023161905.1,Interaction,3.5.4.3
facilitated trehalose transporter,facilitated trehalose transporter Tret1-like,TU6794,XM_023155732.1,Interaction,3.5.4.3
facilitated trehalose transporter,facilitated trehalose transporter Tret1-like,TU35757,XM_023169283.1,Interaction,3.5.4.3
AP-1 complex subunit sigma-2,AP-1 complex subunit sigma-2,TU1979,XM_023162380.1,Interaction,3.5.4.3
